id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,budget
18792285,Clean and Comfortable Room near Columbia,55377720,Dan,Manhattan,Morningside Heights,40.812329999999996,-73.95716999999999,Private room,69,3,0,,,1,0,Average
18949137,"Clean and Simple 1-Bedroom, Steps from University",33683538,Frank,Manhattan,Morningside Heights,40.81002,-73.95958,Entire home/apt,120,12,11,2019-04-22,0.43,1,0,Average
19036742,Private Room near Columbia University,16070950,Lorenzo,Manhattan,Morningside Heights,40.81192,-73.96164,Private room,90,20,1,2017-12-31,0.05,1,0,Average
19120410,Large Bright Studio Apartment,4492286,Anna,Manhattan,Morningside Heights,40.80563,-73.96361999999999,Entire home/apt,130,7,23,2019-06-13,0.95,1,48,Average
19161964,A Private and Cozy room near Columbia University,107704855,Mohammad,Manhattan,Morningside Heights,40.8107,-73.95841999999999,Private room,60,1,1,2017-11-15,0.05,1,0,Average
19246662,"MANHATTAN 
near Central Park&
Columbia University",42068815,Steven,Manhattan,Morningside Heights,40.80908,-73.95858,Entire home/apt,150,3,81,2019-06-02,3.24,1,282,Average
19275018,Spacious & bright room in Upper West near Columbia,24771293,Allen,Manhattan,Morningside Heights,40.80477,-73.96486,Private room,79,2,11,2018-02-04,0.45,1,0,Average
19306176,Beautiful Room in Manhattan- Great location,20266646,Gabriella,Manhattan,Morningside Heights,40.81454,-73.96101999999999,Private room,60,2,4,2019-04-23,0.24,1,0,Average
19330704,Private room near Columbia University,134370506,Joseph,Manhattan,Morningside Heights,40.81237,-73.95985,Private room,80,1,39,2019-07-06,1.56,1,13,Average
19346150,Gorgeous room on the Upper West Side,18225837,Erika,Manhattan,Morningside Heights,40.80723,-73.96222,Private room,50,5,18,2019-06-16,0.72,1,157,Average
19894740,Cozy and bright room in Morningside Heights,25991504,Claudia,Manhattan,Morningside Heights,40.812540000000006,-73.96025,Private room,48,7,1,2017-08-16,0.04,1,0,Average
20085460,Beautiful large 2 bed apartment near Columbia U,21594748,Gabriel,Manhattan,Morningside Heights,40.806999999999995,-73.96452,Entire home/apt,220,2,6,2018-03-19,0.27,2,0,Average
20206499,Spacious and cozy apartment in Upper West Side!,4281324,Camila,Manhattan,Morningside Heights,40.80445,-73.96649000000001,Entire home/apt,120,6,1,2017-11-19,0.05,1,0,Average
20281546,Sunny 1br across from the park,52251632,Daniel,Manhattan,Morningside Heights,40.807109999999994,-73.95826,Entire home/apt,114,1,1,2017-08-20,0.04,1,0,Average
20345108,xxx,137779917,Neng,Manhattan,Morningside Heights,40.81012,-73.95825,Private room,55,1,0,,,1,0,Average
20557463,Cozy modern room with good company and great view,58231083,Seo Hee,Manhattan,Morningside Heights,40.80389,-73.96540999999999,Private room,50,2,2,2017-09-04,0.09,1,0,Average
20572271,5 Mins Walk to Columbia University,11523011,Tiara,Manhattan,Morningside Heights,40.80731,-73.96579,Private room,55,14,3,2019-01-25,0.19,2,164,Average
20661577,Columbia Neighborhood 1 bedroom apartment,72938614,Ned,Manhattan,Morningside Heights,40.80627,-73.96354000000001,Shared room,125,4,0,,,1,0,Average
20741509,"Hrlem Brownstone,By CentralPark.22 min Time Square",148544231,Khalif,Manhattan,Morningside Heights,40.808409999999995,-73.95625,Private room,85,3,13,2018-08-27,0.59,2,61,Average
20812365,Cozy apartment,76227113,Omar,Manhattan,Morningside Heights,40.802459999999996,-73.95971999999999,Entire home/apt,245,2,57,2019-07-05,2.58,1,54,Average
20954729,Beautiful apt. in Upper West Side close to subway,132158770,Leva,Manhattan,Morningside Heights,40.814,-73.96228,Entire home/apt,150,2,3,2017-10-29,0.14,1,0,Average
21217698,Private room/office in the heart of Manhattan,6958919,Ariella,Manhattan,Morningside Heights,40.81373,-73.96013,Private room,50,1,0,,,1,0,Average
21254718,Bright Comfy Apartment Steps to Columbia & Barnard,56197328,Paul,Manhattan,Morningside Heights,40.806470000000004,-73.96576,Entire home/apt,573,3,1,2018-10-18,0.11,2,0,Average
21462783,1BR APT in Morningside Heights,5057804,Mike,Manhattan,Morningside Heights,40.80605,-73.96495999999999,Entire home/apt,125,3,16,2019-07-01,0.79,1,25,Average
21550105,Cozy & Tidy Private Room at Upper West Manhattan,29021587,Oscar,Manhattan,Morningside Heights,40.809670000000004,-73.95781,Private room,75,3,0,,,1,0,Average
21633395,"Big & quiet studio home, UWS, 2 min. from subway",7247765,Al,Manhattan,Morningside Heights,40.80431,-73.96615,Entire home/apt,80,12,1,2017-11-12,0.05,1,0,Average
21692641,"Large, cozy Studio in Morningside Heights",14991456,Apostolos,Manhattan,Morningside Heights,40.814409999999995,-73.95939,Entire home/apt,100,2,11,2019-03-21,0.57,1,0,Average
21783619,Cozy room at Columbia University,50048064,T,Manhattan,Morningside Heights,40.80369,-73.96238000000001,Private room,50,1,0,,,1,0,Average
21788734,Beautiful large room in Morningside Heights,26095943,Finola,Manhattan,Morningside Heights,40.80423,-73.96515,Private room,60,10,0,,,1,2,Average
21852466,Spacious private apartment by Columbia University,44514403,Stephanie,Manhattan,Morningside Heights,40.804140000000004,-73.96576,Entire home/apt,150,2,23,2018-05-28,1.18,1,0,Average
21896552,Private Garden | Upper West Side Manhattan 1BR,2092300,Amelia,Manhattan,Morningside Heights,40.80513,-73.9632,Entire home/apt,120,3,3,2018-01-08,0.16,1,0,Average
21922407,Beautiful 1 bedroom in Upper west side,4389871,Agostina,Manhattan,Morningside Heights,40.80853,-73.96351999999999,Entire home/apt,90,4,0,,,1,0,Average
21961462,Luxury 1B1B Apt with City View @ Columbia U,56067189,Yuanwen,Manhattan,Morningside Heights,40.80485,-73.96345,Entire home/apt,150,3,1,2017-12-14,0.05,1,0,Average
22077920,Spacious appartment on Upper West Side,17322363,Luis,Manhattan,Morningside Heights,40.80608,-73.96396999999999,Entire home/apt,189,10,2,2017-12-30,0.1,1,0,Average
22232444,Oversized 1BR in Doorman Building by Central Park,33610939,Ishaan,Manhattan,Morningside Heights,40.80486,-73.9656,Private room,200,2,0,,,1,0,Average
22279040,"Private Room (rm2), 5 mins from Columbia",21410914,Eugene,Manhattan,Morningside Heights,40.81245,-73.95813000000001,Private room,200,3,30,2019-06-10,1.84,6,1,Average
22281732,"Private Room (rm4), 5 mins from Columbia",21410914,Eugene,Manhattan,Morningside Heights,40.8112,-73.95966999999999,Private room,100,3,42,2019-06-16,2.43,6,0,Average
22303992,Private Master Bedroom in Harlem,49404324,Brandon,Manhattan,Morningside Heights,40.80751,-73.95745,Private room,70,2,0,,,1,0,Average
22451363,Perfect block in NYC,164509613,Eduardo,Manhattan,Morningside Heights,40.804140000000004,-73.96498000000001,Entire home/apt,145,1,23,2019-07-05,1.37,1,3,Average
22485416,"Private Room (rm3), 5 mins from Columbia",21410914,Eugene,Manhattan,Morningside Heights,40.81232,-73.95849,Private room,85,3,47,2019-06-23,2.77,6,0,Average
22491853,Private room near Central Park/Columbia University,67859646,Indhira & Alex,Manhattan,Morningside Heights,40.80737,-73.95732,Private room,75,2,39,2018-12-06,2.17,1,24,Average
22833773,A Private and Cozy room near Columbia University,168804578,Mike,Manhattan,Morningside Heights,40.80895,-73.95894,Private room,60,1,23,2018-05-20,1.31,1,0,Average
